,Year,Week_Nr,Open,High,Low,Volume,Close/Last
382,2022,42,234.41,249.9221,234.4,21057820,245.1
381,2022,42,249.8,250.37,237.73,25776730,240.86
380,2022,42,265.0,279.3,262.66,46685260,272.38
379,2022,42,272.78,278.3755,266.38,17207100,268.16
378,2022,42,268.95,290.75,265.68,24889060,289.57
377,2022,43,290.23,290.49,280.36,13326420,282.45
376,2022,43,286.95,297.59,285.5501,15100720,291.02
375,2022,43,290.04,305.63,288.04,15749250,298.62
374,2022,43,298.33,305.21,294.78,14612590,296.94
373,2022,43,297.7,301.19,292.2924,9960547,295.72
372,2022,44,295.13,297.6199,289.5,7505133,291.88
371,2022,44,296.17,299.7,286.42,6916424,286.75
370,2022,44,286.4,287.33,272.84,10367620,273.0
369,2022,44,271.25,276.29,268.8,7057350,269.06
368,2022,44,272.02,274.97,255.32,11124690,260.79
367,2022,45,261.06,261.155,252.09,7927033,258.6
366,2022,45,259.92,266.08,256.8801,7683826,263.46
365,2022,45,259.66,260.9,254.2202,7265994,254.66
364,2022,45,265.99,275.36,260.0901,9667323,274.97
363,2022,45,274.47,290.66,271.5577,9573834,290.13
362,2022,46,290.0,311.0,288.19,17973400,299.27
361,2022,46,309.2,312.71,302.55,14626930,310.2
360,2022,46,309.94,310.49,303.61,8038556,306.02
359,2022,46,294.72,299.82,291.0,9838220,295.28
358,2022,46,297.33,298.0,287.0,8400108,287.98
357,2022,47,291.0,291.87,282.66,7256507,285.05
356,2022,47,284.99,286.98,277.34,6245119,286.69
355,2022,47,285.91,292.47,283.76,5918988,291.5
354,2022,47,289.0,289.21,284.17,3235953,285.54
353,2022,48,284.0,289.55,280.53,4707049,281.17
352,2022,48,282.5,282.96,275.94,5786874,280.96
351,2022,48,281.37,308.26,280.41,16070120,305.53
350,2022,48,303.99,319.8,303.03,14664870,316.95
349,2022,48,310.49,321.99,310.0,12690600,320.41
348,2022,49,316.46,322.77,310.92,8423029,312.59
347,2022,49,311.0,313.2231,303.13,7195395,305.56
346,2022,49,306.5,309.61,302.1,7821634,308.42
345,2022,49,309.11,312.38,304.8098,7205326,310.26
344,2022,49,321.45,329.0,319.52,14364030,320.01
343,2022,50,320.0,323.18,308.85,10148610,315.18
342,2022,50,328.0,332.7236,317.199,10756430,320.34
341,2022,50,318.97,324.71,314.42,7543291,317.83
340,2022,50,302.12,303.39,286.55,17724560,290.41
339,2022,50,288.76,294.7199,288.7,14080050,290.71
338,2022,51,289.73,292.25,286.13,6163667,288.3
337,2022,51,281.24,289.28,280.81,6918114,288.19
336,2022,51,289.99,300.66,286.5,6376173,297.96
335,2022,51,298.09,298.88,290.8131,7856192,297.75
334,2022,51,296.18,298.4614,291.91,4251108,294.965
333,2022,52,293.19,293.57,282.13,5778098,284.17
332,2022,52,281.92,285.19,273.41,5964369,276.88
331,2022,52,283.18,295.4999,281.01,9588527,291.12
330,2022,52,285.53,295.01,283.22,7566892,294.88
329,2023,1,298.06,298.39,288.7,6763964,294.95
328,2023,1,298.24,311.135,295.51,9345054,309.41
327,2023,1,307.0,314.18,304.545,8328390,309.7
326,2023,1,311.57,316.77,303.69,8959839,315.55
325,2023,2,316.83,321.7,313.22,6766628,315.17
324,2023,2,311.07,329.35,311.07,13072290,327.54
323,2023,2,326.5,328.88,321.35,9579681,327.26
322,2023,2,332.5,332.95,323.14,10856250,330.13
321,2023,2,329.97,336.65,328.885,8286816,332.82
320,2023,3,331.08,332.5,323.6,9246987,326.22
319,2023,3,326.75,330.08,321.25,7814115,326.33
318,2023,3,322.57,324.89,313.39,18008200,315.78
317,2023,3,336.79,344.0,332.625,28430340,342.5
316,2023,4,341.715,362.2453,340.6329,15646850,357.42
315,2023,4,357.53,365.65,355.1401,11796530,363.83
314,2023,4,360.57,368.8999,358.501,7766907,367.96
313,2023,4,368.77,369.02,361.7,8256844,364.87
312,2023,4,363.2,365.92,360.59,6703548,360.77
311,2023,5,358.44,360.95,352.855,5127593,353.11
310,2023,5,349.98,355.95,348.71,5660738,353.86
309,2023,5,353.86,365.385,349.91,8005170,361.99
308,2023,5,365.16,368.32,358.43,7856952,366.89
307,2023,5,359.08,379.4301,359.0,9402034,365.9
306,2023,6,363.642,368.45,360.68,4994942,361.48
305,2023,6,358.51,364.1799,354.18,6289368,362.95
304,2023,6,360.02,368.193,358.31,6253179,366.83
303,2023,6,372.41,373.83,361.7444,6901100,362.5
302,2023,6,359.16,362.14,347.14,7291096,347.36
301,2023,7,349.5,359.7034,344.25,7134445,358.57
300,2023,7,357.55,363.75,353.4,4624758,359.96
299,2023,7,356.63,362.88,354.24,3969945,361.42
298,2023,7,355.0,361.5,350.31,5215726,350.71
297,2023,7,347.905,349.0,342.44,5294727,347.96
296,2023,8,342.85,344.1253,336.4177,5710292,337.5
295,2023,8,337.5,341.91,332.82,4546249,334.88
294,2023,8,331.23,331.28,314.3,13238670,323.65
293,2023,8,319.3,321.5,314.52,6830692,317.15
292,2023,9,323.87,330.0,322.121,6142580,323.03
291,2023,9,323.7,327.62,321.17,3676075,322.13
290,2023,9,321.55,326.6,312.36,4911311,313.48
289,2023,9,310.96,315.57,310.38,4921053,311.88
288,2023,9,315.45,317.49,310.82,5953319,315.18
287,2023,10,317.0,323.3,311.8412,5660743,312.03
286,2023,10,312.675,314.3,306.6226,4553082,308.47
285,2023,10,309.29,311.83,305.75,3479474,311.79
284,2023,10,312.08,312.51,294.88,7443350,297.78
283,2023,10,297.905,298.79,289.0,5759315,292.76
282,2023,11,287.34,299.24,285.3301,6292385,293.51
281,2023,11,295.97,297.45,290.31,5956692,294.94
280,2023,11,292.51,306.31,292.28,9215340,303.79
279,2023,11,304.75,316.6,301.71,7912371,310.06
278,2023,11,310.06,310.76,300.0,6918777,303.5
277,2023,12,299.79,307.5,296.0,5113430,305.13
276,2023,12,306.32,307.92,300.43,4886279,305.79
275,2023,12,306.31,306.45,293.54,5808035,293.9
274,2023,12,304.68,322.78,304.14,15653350,320.37
273,2023,12,320.63,331.83,320.63,13004090,328.39
272,2023,13,327.55,336.44,324.41,8625763,327.66
271,2023,13,326.06,333.32,321.28,6489388,323.52
270,2023,13,326.29,332.85,325.73,6287336,332.03
269,2023,13,340.27,343.29,335.3,7131468,338.43
268,2023,13,340.05,345.84,337.2001,5610161,345.48
267,2023,14,341.83,348.58,340.4001,4413650,348.28
266,2023,14,348.49,349.8,343.95,3298072,346.75
265,2023,14,345.3,345.43,336.2526,4205545,342.35
264,2023,14,339.34,340.48,332.63,4660542,339.33
263,2023,15,335.27,339.88,333.36,2657898,338.99
262,2023,15,343.45,347.14,337.635,4044778,338.21
261,2023,15,340.81,342.8,330.04,3965440,331.03
260,2023,15,339.99,346.43,338.75,7406437,346.19
259,2023,15,342.94,344.853,336.41,5350508,338.63
258,2023,16,338.0,338.39,327.5,6136047,332.72
257,2023,16,335.0,337.19,330.5,17944500,333.7
256,2023,16,324.21,325.75,316.1,22128270,323.12
255,2023,16,320.39,331.4298,318.33,9947800,325.35
254,2023,16,323.0,328.29,319.5,6348000,327.98
253,2023,17,330.2,334.66,326.75,5586627,329.02
252,2023,17,328.5,328.655,321.1,5426642,322.55
251,2023,17,321.36,325.9,320.47,4623238,321.15
250,2023,17,324.3,327.45,317.44,5618768,325.85
249,2023,17,325.24,330.8077,324.0,4228374,329.93
248,2023,18,329.435,331.23,318.09,5341484,324.12
247,2023,18,325.0,326.07,315.62,4318612,317.55
246,2023,18,317.55,324.62,315.85,5064057,319.3
245,2023,18,319.01,323.61,317.95,3879657,320.78
244,2023,18,323.61,324.15,319.4401,3990637,322.76
243,2023,19,322.99,332.56,322.03,5488593,331.21
242,2023,19,330.67,336.32,329.7401,5544852,332.14
241,2023,19,335.21,337.11,329.51,4289897,335.42
240,2023,19,334.98,345.47,331.84,8033531,344.76
239,2023,19,344.76,348.1664,337.3637,6082360,339.89
238,2023,20,340.62,341.9,335.54,3652970,335.89
237,2023,20,334.0,335.17,331.91,3334863,333.75
236,2023,20,331.76,341.38,329.615,3958807,339.96
